id,@id,addr:city,admin_level,alt_name,border_type,boundary,city,designation,district,is_in:city,kaynak,name,name:en,name:ku,name:ru,network,note,old_name,place,population,population:date,source,type,wall:material,@relations,wikidata,wikimedia_commons,wikipedia
relation/5525831,relation/5525831,,"8",,,administrative,,,,,,Tepebaşı Mahallesi,,,,,,,,,,,boundary,,,Q19612695,,
relation/5525888,relation/5525888,,"8",,,administrative,,,,,,Çiçekli Mahallesi,,,,,,,,,,,boundary,,,Q19613375,,
relation/5525921,relation/5525921,,"8",,,administrative,,,,,,Karargahtepe Mahallesi,,,,,,,,,,,boundary,,,Q19611626,,
relation/5525940,relation/5525940,,"8",,,administrative,,,,,,Basınevleri Mahallesi,,,,,,,,,,,boundary,,,Q19610679,,
relation/5525974,relation/5525974,,"8",,,administrative,,,,,,Emrah Mahallesi,,,,,,,,,,,boundary,,,Q19611114,,
relation/5526123,relation/5526123,,"8",,,administrative,,,,,,Aşağı Eğlence Mahallesi,,,,,,,,,,,boundary,,,Q19610636,,
relation/5526130,relation/5526130,,"8",,,administrative,,,,,,İncirli Mahallesi,,,,,,,,,,,boundary,,,Q41502439,,
relation/5526161,relation/5526161,,"8",,,administrative,,,,,,19 Mayıs Mahallesi,,,,,,,,,,,boundary,,,Q19610337,,
relation/5526587,relation/5526587,,"8",,,administrative,,,,,,Kuşcağız Mahallesi,,,,,,,,,,,boundary,,,Q19611781,,
relation/5526951,relation/5526951,,"8",,,administrative,,,,,,Pınarbaşı Mahallesi,,,,,,,,,,,boundary,,,Q19612274,,
relation/5527199,relation/5527199,,"8",,,administrative,,,,,,Şenlik Mahallesi,,,,,,,,,,,boundary,,,Q19613934,,
relation/5527457,relation/5527457,,"8",,,administrative,,,,,,Atapark Mahallesi,,,,,,,,,,,boundary,,,Q19610583,,
relation/5527717,relation/5527717,,"8",,,administrative,,,,,,Ufuktepe Mahallesi,,,,,,,,,,,boundary,,,Q20474175,,
relation/5527723,relation/5527723,,"8",,,administrative,,,,,,Osmangazi Mahallesi,,,,,,,,,,,boundary,,,Q19612230,,
relation/5527733,relation/5527733,,"8",,,administrative,,,,,,Kamil Ocak Mahallesi,,,,,,,,,,,boundary,,,Q19611598,,
relation/5527798,relation/5527798,,"8",,,administrative,,,,,,Çaldıran Mahallesi,,,,,,,,,,,boundary,,,Q19613301,,
relation/5527866,relation/5527866,,"8",,,administrative,,,,,,Yeşiltepe Mahallesi,,,,,,,,,,,boundary,,,Q19613146,,
relation/5527904,relation/5527904,,"8",,,administrative,,,,,,Yeşilöz Mahallesi,,,,,,,,,,,boundary,,,Q19613151,,
relation/5527921,relation/5527921,,"8",,,administrative,,,,,,Aktepe Mahallesi,,,,,,,,,,,boundary,,,Q19610452,,
relation/5536418,relation/5536418,,"8",,,administrative,,,,,,Adnan Menderes Mahallesi,,,,,,,,,,,boundary,,,Q19610400,,
relation/5536424,relation/5536424,,"8",,,administrative,,,,,,Güzelyurt Mahallesi,,,,,,,,,,,boundary,,,Q6088006,,
relation/5536438,relation/5536438,,"8",,,administrative,,,,,,Şenyuva Mahallesi,,,,,,,,,,,boundary,,,Q19613940,,
relation/5536530,relation/5536530,,"8",,,administrative,,,,,,23 Nisan Mahallesi,,,,,,,,,,,boundary,,,Q19610353,,
relation/5536545,relation/5536545,,"8",,,administrative,,,,,,Köşk Mahallesi,,,,,,,,,,,boundary,,,Q19611792,,
relation/5536616,relation/5536616,,"8",,,administrative,,,,,,Uyanış Mahallesi,,,,,,,,,,,boundary,,,Q19612912,,
relation/5536650,relation/5536650,,"8",,,administrative,,,,,,Bademlik Mahallesi,,,,,,,,,,,boundary,,,Q19610658,,
relation/5536676,relation/5536676,,"8",,,administrative,,,,,,Kanuni Mahallesi,,,,,,,,,,,boundary,,,Q19611607,,
relation/5536806,relation/5536806,,"8",,,administrative,,,,,,Karşıyaka Mahallesi,,,,,,,,,,,boundary,,,Q19611636,,
relation/5536815,relation/5536815,,"8",,,administrative,,,,,,Karakaya Mahallesi,,,,,,,,,,,boundary,,,Q19611621,,
relation/5536830,relation/5536830,,"8",,,administrative,,,,,,Kafkas Mahallesi,,,,,,,,,,,boundary,,,Q19611583,,
relation/5536841,relation/5536841,,"8",,,administrative,,,,,,Hisar Mahallesi,,,,,,,,,,,boundary,,,Q19611507,,
relation/5536912,relation/5536912,,"8",,,administrative,,,,,,Ovacık Mahallesi,,,,,,,,,,,boundary,,,Q19612234,,
relation/5536946,relation/5536946,,"8",,,administrative,,,,,,Yükseltepe Mahallesi,,,,,,,,,,,boundary,,,Q20476357,,
relation/5536970,relation/5536970,,"8",,,administrative,,,,,,Esertepe Mahallesi,,,,,,,,,,,boundary,,,Q19611150,,
relation/5537036,relation/5537036,,"8",,,administrative,,,,,,Etlik Mahallesi,,,,,,,,,,,boundary,,,Q5404659,,
relation/5537040,relation/5537040,,"8",,,administrative,,,,,,Ayvalı Mahallesi,,,,,,,,,,,boundary,,,Q19610624,,
relation/5537126,relation/5537126,,"8",,,administrative,,,,,,Yayla Mahallesi,,,,,,,,,,,boundary,,,Q19613080,,
relation/5537167,relation/5537167,,"8",,,administrative,,,,,,Sancaktepe Mahallesi,,,,,,,,,,,boundary,,,Q19612418,,
relation/5537178,relation/5537178,,"8",,,administrative,,,,,,Şehit Kubilay Mahallesi,,,,,,,,,,,boundary,,,Q19613922,,
relation/5537300,relation/5537300,,"8",,,administrative,,,,,,Kösrelik Mahallesi,,,,,,,,,,,boundary,,,Q6082344,,
relation/5537364,relation/5537364,,"8",,,administrative,,,,,,Sarıbeyler Mahallesi,,,,,,,,,,,boundary,,,Q6097653,,
relation/5537367,relation/5537367,,"8",,,administrative,,,,,,Çalseki Mahallesi,,,,,,,,,,,boundary,,,Q6080439,,
relation/5537405,relation/5537405,,"8",Güzelyurt Mahallesi,,administrative,,,,,,Bağlum Güzelyurt Mahallesi,,,,,,,,,,,boundary,,,Q15980077,,"tr:Bağlum Güzelyurt, Keçiören"
relation/5540962,relation/5540962,,"8",,,administrative,,,,,,Emniyet Mahallesi,,,,,,,,,,,boundary,,,Q31189581,,
relation/5541250,relation/5541250,,"8",,,administrative,,,,,,Gazi Mahallesi,,,,,,,,,,,boundary,,,Q31189586,,
relation/5541275,relation/5541275,,"8",,,administrative,,,,,,Macun Mahallesi,,,,,,,,,,,boundary,,,Q31189804,,
relation/5546023,relation/5546023,,"8",,,administrative,,,,,,25 Mart Mahallesi,,,,,,,,,,,boundary,,,Q31189818,,
relation/5546025,relation/5546025,,"8",,,administrative,,,,,,Çamlıca Mahallesi,,,,,,,,,,,boundary,,,Q31189806,,
relation/5546215,relation/5546215,,"8",,,administrative,,,,,,Gayret Mahallesi,,,,,,,,,,,boundary,,,Q31189654,,
relation/5546301,relation/5546301,,"8",,,administrative,,,,,,Demetgül Mahallesi,,,,,,,,,,,boundary,,,Q31189855,,
relation/5554811,relation/5554811,,"8",,,administrative,,,,,,Varlık Mahallesi,,,,,,,,,,,boundary,,,Q31189798,,
relation/5554853,relation/5554853,,"8",,,administrative,,,,,,Işınlar Mahallesi,,,,,,,,,,,boundary,,,Q31189773,,
relation/5554884,relation/5554884,,"8",,,administrative,,,,,,Demetlale Mahallesi,,,,,,,,,,,boundary,,,Q31189856,,
relation/5554887,relation/5554887,,"8",,,administrative,,,,,,Barış Mahallesi,,,,,,,,,,,boundary,,,Q31189802,,
relation/5596459,relation/5596459,,"8",,,administrative,,,,,,Ragıp Tüzün Mahallesi,,,,,,,,,,,boundary,,,Q31189797,,
relation/5596477,relation/5596477,,"8",,,administrative,,,,,,Yeniçağ Mahallesi,,,,,,,,,,,boundary,,,Q31189786,,
relation/5596484,relation/5596484,,"8",,,administrative,,,,,,Yunus Emre Mahallesi,,,,,,,,,,,boundary,,,Q31189789,,
relation/5596514,relation/5596514,,"8",,,administrative,,,,,,Çarşı Mahallesi,,,,,,,,,,,boundary,,,Q31189791,,
relation/5596556,relation/5596556,,"8",,,administrative,,,,,,Tepealtı Mahallesi,,,,,,,,,,,boundary,,,Q31189790,,
relation/5596580,relation/5596580,,"8",,,administrative,,,,,,Esentepe Mahallesi,,,,,,,,,,,boundary,,,Q31189794,,
relation/5596689,relation/5596689,,"8",,,administrative,,,,,,Ergenekon Mahallesi,,,,,,,,,,,boundary,,,Q31189793,,
relation/5608962,relation/5608962,,"8",,,administrative,,,,,,Anadolu Mahallesi,,,,,,,,,,,boundary,,,Q31189865,,
relation/5608971,relation/5608971,,"8",,,administrative,,,,,,Karşıyaka Mahallesi,,,,,,,,,,,boundary,,,Q31189774,,
relation/5608995,relation/5608995,,"8",,,administrative,,,,,,Demetevler Mahallesi,,,,,,,,,,,boundary,,,Q19610969,,
relation/5609003,relation/5609003,,"8",,,administrative,,,,,,Mehmet Akif Ersoy Mahallesi,,,,,,,,,,,boundary,,,Q31189829,,
relation/5609011,relation/5609011,,"8",,,administrative,,,,,,Özevler Mahallesi,,,,,,,,,,,boundary,,,Q31189866,,
relation/5609015,relation/5609015,,"8",,,administrative,,,,,,Yeşilevler Mahallesi,,,,,,,,,,,boundary,,,Q31189867,,
relation/5609028,relation/5609028,,"8",,,administrative,,,,,,Güzelyaka Mahallesi,,,,,,,,,,,boundary,,,Q31189871,,
relation/5609034,relation/5609034,,"8",,,administrative,,,,,,Pamuklar Mahallesi,,,,,,,,,,,boundary,,,Q31189862,,
relation/5609052,relation/5609052,,"8",,,administrative,,,,,,Güventepe Mahallesi,,,,,,,,,,,boundary,,,Q31189860,,
relation/5609054,relation/5609054,,"8",,,administrative,,,,,,Burç Mahallesi,,,,,,,,,,,boundary,,,Q31189857,,
relation/5609065,relation/5609065,,"8",,,administrative,,,,,,Barıştepe Mahallesi,,,,,,,,,,,boundary,,,Q31189864,,
relation/5609083,relation/5609083,,"8",,,administrative,,,,,,Kayalar Mahallesi,,,,,,,,,,,boundary,,,Q31189861,,
relation/5611743,relation/5611743,,"8",,,administrative,,,,,,Çiğdemtepe Mahallesi,,,,,,,,,,,boundary,,,Q19613377,,
relation/5621167,relation/5621167,,"8",,,administrative,,,,,,Yıldırım Beyazıt Mahallesi,,,,,,,,,,,boundary,,,Q97223517,,
relation/5623458,relation/5623458,,"8",,,administrative,,,,,,Aşağı Yahyalar Mahallesi,,,,,,,,,,,boundary,,,Q31189868,,
relation/5623480,relation/5623480,,"8",,,administrative,,,,,,Yukarı Yahyalar Mahallesi,,,,,,,,,,,boundary,,,Q31189870,,
relation/5623513,relation/5623513,,"8",,,administrative,,,,,,Kaletepe Mahallesi,,,,,,,,,,,boundary,,,Q31189858,,
relation/5623518,relation/5623518,,"8",,,administrative,,,,,,Avcılar Mahallesi,,,,,,,,,,,boundary,,,Q31189859,,
relation/5623621,relation/5623621,,"8",,,administrative,,,,,,İvedikköy Mahallesi,,,,,,,,,,,boundary,,,Q8080246,,
relation/5623684,relation/5623684,,"8",,,administrative,,,,,,Serhat Mahallesi,,,,,,,,,,,boundary,,,Q31189869,,
relation/5623780,relation/5623780,,"8",,,administrative,,,,,,Uğur Mumcu Mahallesi,,,,,,,,,,,boundary,,,Q31189819,,
relation/5623786,relation/5623786,,"8",,,administrative,,,,,,Ostim OSB Mahallesi,,,,,,,,,,,boundary,,,Q109389483,,
relation/5623804,relation/5623804,,"8",,,administrative,,,,,,İlkyerleşim Mahallesi,,,,,,,,,,,boundary,,,Q31189813,,
relation/5623959,relation/5623959,,"8",,,administrative,,,,,,Yuvaköy Mahallesi,,,,,,,,,,,boundary,,,Q6081634,,
relation/5623969,relation/5623969,,"8",,,administrative,,,,,,Yakacık Mahallesi,,,,,,,,,,,boundary,,,Q6085300,,
relation/5623991,relation/5623991,,"8",,,administrative,,,,,,Kuzey Yıldızı Mahallesi,,,,,,,,,,,boundary,,,Q31189820,,
relation/5624447,relation/5624447,,"8",,,administrative,,,,,,Memlik Mahallesi,,,,,,,,,,,boundary,,,Q6092373,,
relation/5635764,relation/5635764,,"8",,,administrative,,,,,,Turgut Özal Mahallesi,,,,,,,,,,,boundary,,,Q6059594,,
